Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,tuning[ns],optimumPerformance[ns]
2025-09-30 22:10:54,1130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,772911559,16727300
2025-09-30 22:10:54,1130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,956042,16727300
2025-09-30 22:17:18,6130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,967177179,13770512
2025-09-30 22:17:18,6130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,37998,13770512
2025-09-30 22:23:47,11130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,966195311,13607814
2025-09-30 22:23:47,11130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,143231,13607814
2025-09-30 22:30:19,16130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,959931212,13575667
2025-09-30 22:30:19,16130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,76620,13575667
2025-09-30 22:36:54,21130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,956728103,13665117
2025-09-30 22:36:54,21130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,181923,13665117
2025-09-30 22:43:25,26130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,954365510,13604516
2025-09-30 22:43:25,26130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,33754,13604516
2025-09-30 22:49:53,31130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,959238295,13688122
2025-09-30 22:49:53,31130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,25301,13688122
2025-09-30 22:56:18,36130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,947982117,13687542
2025-09-30 22:56:18,36130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,56676,13687542
2025-09-30 23:02:44,41130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,950051741,13773250
2025-09-30 23:02:44,41130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,78315,13773250
2025-09-30 23:09:08,46130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,940648748,13680618
2025-09-30 23:09:08,46130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,35245,13680618
2025-09-30 23:15:31,51130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,944232651,13834947
2025-09-30 23:15:31,51130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,31811,13834947
2025-09-30 23:21:55,56130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,947240768,13764987
2025-09-30 23:21:55,56130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,117923,13764987
2025-09-30 23:28:20,61130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,949198752,13762098
2025-09-30 23:28:20,61130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,42608,13762098
2025-09-30 23:34:46,66130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,938035600,13994206
2025-09-30 23:34:46,66130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,44105,13994206
2025-09-30 23:41:12,71130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,947340614,13767432
2025-09-30 23:41:12,71130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,68416,13767432
2025-09-30 23:47:36,76130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,943892555,13790930
2025-09-30 23:47:37,76130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,78397,13790930
2025-09-30 23:54:04,81130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,940565920,13872884
2025-09-30 23:54:05,81130,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,78800,13872884
