Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed,Mean Rebuild Frequency
2025-09-17 13:50:58,9,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,5057209,4340454,4366036,4345395,4380287,4371623,4391383,4374101,4374272,4374426,4437518,4437518,10
2025-09-17 13:53:42,10009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4818738,4128535,4117357,4150217,4117160,4119777,4121097,4135674,4124102,4116047,4194869,4194869,10
2025-09-17 13:56:11,20009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2668956,1966387,1948781,1959234,1949821,1948788,1956069,1954111,1940547,1929137,2022182,2022182,10
2025-09-17 13:58:24,30009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1730994,945788,933519,934656,936986,924635,928492,929985,929342,922951,1011734,1011734,10
2025-09-17 14:00:32,40009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1711403,914628,903648,900759,905533,898344,901702,899673,902646,897215,983555,983555,10
2025-09-17 14:02:41,50009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1662218,896415,892018,880606,885826,886587,885367,877668,890137,887453,964429,964429,10
2025-09-17 14:04:49,60009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1660692,896432,883899,878387,879811,888473,879277,882373,879732,879012,960808,960808,10
2025-09-17 14:06:58,70009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1678780,889163,876309,883330,876740,879318,880347,873633,880872,874607,959309,959309,10
2025-09-17 14:09:06,80009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1676641,893916,889594,891516,885188,879055,884759,887789,887831,887422,966370,966370,10
2025-09-17 14:11:15,90009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1645662,879271,879840,878201,872388,877872,873936,867099,871497,869886,951564,951564,10
2025-09-17 14:13:23,100009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1653252,881133,877971,869449,869459,867965,877467,876086,874075,868729,951558,951558,10
2025-09-17 14:15:32,110009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1654017,883712,879536,876344,874797,882351,870366,876412,880030,871176,954873,954873,10
2025-09-17 14:17:40,120009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1647520,878361,876487,874060,875647,871796,867830,870459,866458,871976,950058,950058,10
2025-09-17 14:19:49,130009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1659274,888028,875939,880364,879868,866538,876278,869691,870701,872108,953878,953878,10
2025-09-17 14:21:57,140009,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,1659864,875742,873246,868662,871264,875700,859443,872890,868008,872172,949698,949698,10
